// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
LangTagAccountData	dan	Account data	date20051012	
LangTagAutoCrossSelling	deu	Kunden, die diesen Artikel bestellt haben, haben auch bestellt...	date20051012	
LangTagAutoCrossSelling	eng	Customer, who order this article, order also...	date20051012	
LangTagAutoCrossSelling	dan	Customer, who order this article, order also...	date20051012	
LangTagBestseller	deu	Bestseller	date20051012	
LangTagBestseller	eng	Bestseller	date20051012	
LangTagBestseller	dan	Bestseller	date20051012	
LangTagCoupon	deu	Gutschein	date20051012	
LangTagCoupon	eng	coupon	date20051012	
LangTagCoupon	dan	coupon	date20051012	
LangTagCouponCode	deu	Gutschein Code	date20051012	
LangTagCouponCode	eng	coupon code	date20051012	
LangTagCouponCode	dan	coupon code	date20051012	
LangTagCouponText	deu	Sie haben hier die Möglichkeit Ihren Gutschein einzulösen. Tragen Sie den Gutscheincode ein und klicken Sie auf "ok".	date20051012	
LangTagCouponText	eng	You are able to honor a coupon here. Enter your coupon&#039;s number and press "ok".	date20051012	
LangTagCouponText	dan	You are able to honor a coupon here. Enter your coupon&#039;s number and press "ok".	date20051012	
LangTagExtendedSearch	deu	Suche	date20051012	
LangTagExtendedSearch	eng	Search	date20051012	
LangTagExtendedSearch	dan	Search	date20051012	
LangTagExtendedSearchText	deu	Die erweiterte Suche bietet Ihnen die Möglichkeit, Ihre Suche feiner einzugrenzen.	date20051012	
LangTagExtendedSearchText	eng	The extended search allows you to precise your search criteria.	date20051012	
